cnpj,pasta,download_individual,local_nfe,state_imported_nfe,gap_nfe,local_cte,state_imported_cte,gap_cte
09330225000180,1020_PROKARGO_TRANSPORTES_LOGISTICA_E_ARMAZENS_GERAIS_LTDA,NAO,0,0,0,0,0,0
27751050000167,1021_3D_PRIME_SOLUCOES_EM_IMPRESSAO_3D_INDUSTRIA_E_COMERCIO_LTDA,SIM,0,86,0,0,67,0
51212160000135,"1022_ATG_LOCACAO,_MANUTENCAO_E_COMERCIO_DE_GERADORES_LTDA",NAO,0,40,0,0,2,0
07638033000100,1023_PRECISO_TRANSPORTES_E_LOGISTICA_LTDA,NAO,0,13,0,0,0,0
51768503000142,1024_PANMACHINE_INSTALACAO_DE_MAQUINAS_E_EQUIPAMENTOS_INDUSTRIAIS_LTDA,NAO,0,3,0,0,3,0
12703573000403,1025_BR_BULK_LOGISTICA_E_TRANSPORTES_LTDA.,NAO,0,0,0,0,0,0
44363657000270,1028_AGREGALOG_TRANSPORTES_LTDA,NAO,0,0,0,0,0,0
05451797000590,1029_GREEN_ROAD_SOLUCOES_LOGISTICAS_LTDA,NAO,0,0,0,0,0,0
02942562000180,0103_PAULICON_CONSULTORIA_ADMINISTRATIVA_LTDA_ME,NAO,0,13,0,0,1,0
48994729000157,1030_PEME_TRANSPORTES_E_SERVICOS_LTDA,NAO,0,1,0,0,0,0
01200743000178,1044_EXPERT_TRANSPORTES_E_LOGISTICA_LTDA,SIM,0,79,0,0,754,0
01200743000259,1045_EXPERT_TRANSPORTES_E_LOGISTICA_LTDA,NAO,0,3,0,0,11,0
41929361000102,1046_ARB_TRANSPORTES_E_LOGISTICA_LTDA,SIM,0,0,0,0,1167,0
08858785002274,1047_MAFRO_TRANSPORTES_LTDA,NAO,0,5,0,0,6,0
35848640000211,1048_HEXALOG_LOGISTICA_E_TRANSPORTES_LTDA,NAO,0,2,0,0,0,0
19429088000351,1049_PIORELO_PARTICIPACOES_LTDA,NAO,0,0,0,0,0,0
06102153000126,0105_PASY_TRANSPORTES_LTDA,NAO,0,0,0,0,0,0
52685950000109,1050_FANTIN_PARTICIPACOES_LTDA,NAO,0,0,0,0,0,0
51867436000113,1051_LARALEON_PARTICIPACOES_LTDA,NAO,0,0,0,0,0,0
04250055000100,1052_VAYO_TRANSPORTES_LTDA,NAO,0,0,0,0,0,0
02502762000111,1053_ALDEBARAN_DE_SANTOS_TRANSPORTES_LTDA,NAO,0,0,0,0,205,0
02502762000383,1054_ALDEBARAN_DE_SANTOS_TRANSPORTES_LTDA.,NAO,0,0,0,0,212,0
27220095000105,1055_ALDEBARAN_LOGISTICA_INTEGRADA_LTDA.,NAO,0,0,0,0,39,0
27220095000296,1056_ALDEBARAN_LOGISTICA_INTEGRADA_LTDA.,NAO,0,0,0,0,66,0
23036760000154,1057_EXXEGESE_TRANSPORTE_E_LOGISTICA_LTDA,NAO,0,0,0,0,0,0
03314552000162,1058_ADDTECH_TECNOLOGIA_LTDA,SIM,0,859,0,0,56,0
28257646000178,1059_ADDTRONIC_LTDA,NAO,0,4,0,0,0,0
48401093000192,1060_NASCIMENTO_ASSESSORIA_ADMINISTRATIVA_E_FINANCEIRA_LTDA,NAO,0,0,0,0,0,0
33211119000162,1061_SIGA_TRANSPORTES_RODOVIARIOS_LTDA,SIM,0,3,0,0,3487,0
33211119000243,1062_SIGA_TRANSPORTES_RODOVIARIOS_LTDA,SIM,0,0,0,0,2613,0
33211119000324,1063_SIGA_TRANSPORTES_RODOVIARIOS_LTDA,NAO,0,0,0,0,6,0
33211119000405,1064_SIGA_TRANSPORTES_RODOVIARIOS_LTDA,NAO,0,0,0,0,394,0
33211119000596,1065_SIGA_TRANSPORTES_RODOVIARIOS_LTDA,NAO,0,0,0,0,0,0
49129329000146,1066_VIA_CARGAS_TRANSPORTES_LTDA,SIM,0,1,0,0,20675,0
13714559000125,1067_SETA_TRANSPORTES_E_LOGISTICA_LTDA,NAO,0,0,0,0,0,0
08693630000109,1068_POCOPETEZ_TRANSPORTADORA_LTDA,NAO,0,0,0,0,0,0
24960415000175,1070_AGILINK_TRANSPORTE_RODOVIARIO_LTDA,NAO,0,5,0,0,187,0
07549771000181,1071_RUCHER_TRANSPORTES_LTDA,NAO,0,17,0,0,194,0
56697287000377,1072_ANAMAR_COMERCIO_E_TRANSPORTES_LTDA,NAO,0,24,0,0,138,0
54095916000100,1083_LINIA_TECNOLOGIA_LTDA,NAO,0,3,0,0,2,0
42977203000182,1086_A_R_L_LIMA_TRANSPORTES_RODOVIARIO_LTDA,SIM,0,316,0,0,325,0
42977203000263,1108_A_R_L_LIMA_TRANSPORTES_RODOVIARIO_LTDA,NAO,0,4,0,0,0,0
29072328000103,1109_PROGRAME_TRANSPORTES_LTDA,NAO,0,93,0,0,220,0
46640456000117,1110_MHE9_PATRIMONIAL_LTDA,NAO,0,0,0,0,0,0
03349915001177,1111_JAT_TRANSPORTES_E_LOGISTICA_S.A,NAO,0,175,0,0,0,0
50398964000108,1112_LGVAZ_TRANSPORTES_LTDA,NAO,0,0,0,0,0,0
33736667000106,1113_MILIAN_HOLDING_PARTICIPACOES_E_ADMINISTRACAO_DE_BENS_PROPRIOS_LTDA,NAO,0,0,0,0,0,0
29715972000144,1114_BORELLY_TRANSPORTES_RODOVIARIOS_LTDA,NAO,0,0,0,0,0,0
47015614000100,1115_KRLA_HOLDING_PARTICIPACOES_E_ADMINISTRACAO_DE_BENS_PROPRIOS_LTDA,NAO,0,0,0,0,0,0
55219228000169,1116_XGR_SOLUCOES_LOGISTICA_LTDA,NAO,0,0,0,0,0,0
55363142000105,1117_VICK14_HOLDING_LTDA,NAO,0,0,0,0,0,0
07516505000152,1124_TRANS-FARINA_LOGISTICA_EIRELI,NAO,0,8,0,0,120,0
07516505000233,1125_TRANS-FARINA_LOGISTICA_EIRELI,NAO,0,0,0,0,328,0
07516505000314,1126_TRANS-FARINA_LOGISTICA_EIRELI,NAO,0,0,0,0,318,0
90378894000302,1127_TRANSPORTES_EMECE_LTDA,NAO,0,3,0,0,0,0
03314552000243,1128_ADDTECH_TECNOLOGIA_LTDA,NAO,0,0,0,0,1,0
57012098002087,1129_TRANSLUTE_TRANSPORTES_RODOVIARIOS_LTDA,NAO,0,0,0,0,0,0
57815198000189,1130_TRANSTOLONI_LTDA,NAO,0,0,0,0,87,0
57465640000194,1131_VIAROMA_LOGISTICA_LTDA,NAO,0,62,0,0,199,0
02484082000112,1132_TRANSPORTES_DALLAPRIA_LTDA,SIM,0,127,0,0,115,0
46891191000200,"1133_LC_CM_TRANSPORTE,_LOGISTICAS_E_ARMAZENS_GERAIS_LTDA",NAO,0,0,0,0,0,0
40108229000169,1134_JME_TRANSPORTES_LTDA,NAO,0,231,0,0,0,0
06097503000294,1135_TRANSPORTADORA_W._F._LTDA,NAO,0,0,0,0,0,0
08698655000278,1137_MHE9_SERVICOS_LOGISTICOS_LTDA,NAO,0,0,0,0,0,0
08698655000359,1138_MHE9_SERVICOS_LOGISTICOS_LTDA,NAO,0,2,0,0,21,0
24960415000337,1140_AGILINK_TRANSPORTE_RODOVIARIO_LTDA,NAO,0,0,0,0,0,0
34394763000186,1141_B2B_LOG_SERVICOS_DE_TRANSPORTES_EIRELI,NAO,0,0,0,0,0,0
59557564000172,1144_ORION_GESTAO_ADMINISTRATIVA_E_LOCACOES_LTDA,NAO,0,0,0,0,0,0
14777477000192,1147_VIAMEX_TRANSPORTES_E_LOGISTICA_LTDA,SIM,0,80,0,0,15361,0
65910374000190,0132_TRANSMAXIMO_TRANSP_RODOVIARIOS_LTDA,NAO,0,10,0,0,507,0
04696445000109,0155_TRANSPORTADORA_ANELOG_LTDA,NAO,0,0,0,0,2,0
64522204000175,0175_TRANS_REID_LOGISTICA_TRANSPORTES_LTDA,NAO,0,10,0,0,4,0
03868760000103,0181_VIVENCIA_EM_CONTEINERES_LTDA,NAO,0,0,0,0,0,0
03349915000103,0184_JAT_TRANSPORTES_E_LOGISTICA_S.A,SIM,0,11,0,0,3924,0
02679312000107,0221_VINCE_TRANSP._TERRAPLENAGEM_E_LOC.LTDA,NAO,0,21,0,0,1,0
00360790000116,0222_CASA_DA_PAZ,NAO,0,10,0,0,4,0
71895023000150,0237_COOPERATIVA_DE_TRANSPORTES_DE_CARGAS_QUIMICAS_E_CORROSIVAS_DE_MAUA,SIM,473,1198,0,0,1789,0
09082724000104,0243_DCAN_TRANSPORTES_LTDA,SIM,0,287,0,0,4242,0
09104847000190,0244_DELTAPORT_TRANSPORTES_LTDA,NAO,0,7,0,0,358,0
06142647000215,0261_GPS_TRANSPORTES_E_LOGISTICA_S_A,NAO,0,0,0,0,303,0
05451797000167,0274_GREEN_ROAD_SOLUCOES_LOGISTICAS_LTDA,NAO,0,0,0,0,0,0
09595314000159,0283_PAULICON_ORGANIZACIONAL_LTDA,NAO,0,0,0,0,0,0
64775927000186,0289_CITA_-_COOP_INTERMODAL_DE_TRANSPORTADORES_AUTONOMOS,NAO,0,0,0,0,0,0
10507896000153,0296_PANMACHINE_COMERCIO_IMPORTACAO_E_EXPORTACAO_LTDA,SIM,0,4,0,0,6,0
10718415000159,0298_CAMPOI_E_TANI_SOCIEDADE_DE_ADVOGADOS,NAO,0,0,0,0,0,0
04045101000130,0330_PIQUETUR_LOG_LOGISTICA_E_TRANSPORTE_LTDA,SIM,0,0,0,0,12955,0
73123549000147,0351_TRANSPORTES_RODO_ALVES_LTDA,NAO,0,21,0,0,0,0
07964447000120,0353_ATA_EXPRESS_LOGISTICA_LTDA,NAO,0,1,0,0,0,0
07670376000152,0355_NAIRA_COMERCIO_DE_EMBALAGENS_E_MATERIAIS_PLASTICOS_LTDA,NAO,0,16,0,0,8,0
12087792000162,0357_ABY_EMPREENDIMENTOSINVESTIMENTOS_E_PARTICIPACOES_LTDA,NAO,0,0,0,0,0,0
43336189000109,0036_COLEGIO_EDUCARE_LTDA,NAO,0,0,0,0,0,0
60541240000125,0371_TECNOLOG_TRANSP.RODO_AEREO_E_LOGIST.LTDA,SIM,0,75,0,0,2319,0
07890229000198,0373_T.H.S._TRANSPORTE_E_LOGISTICA_LTDA,SIM,0,283,0,0,4639,0
60541240000206,0380_TECNOLOG_TRANSPORTE_RODO-AEREO_E_LOGISTICA_LTDA,NAO,0,0,0,0,0,0
60541240000397,0381_TECNOLOG_TRANSPORTE_RODO-AEREO_E_LOG.LTDA,NAO,0,15,0,0,142,0
60541240000478,0382_TECNOLOG_TRANSP.RODO-AEREO_E_LOG.LTDA,SIM,0,3,0,0,31,0
60541240000559,0383_TECNOLOG_TRANSPORTE_RODO-AEREO_E_LOGISTICA_LTDA,SIM,0,13,0,0,350,0
03349915000529,0384_JAT_TRANSPORTES_E_LOGISTICA_S.A,SIM,0,24,0,0,6933,0
49829773000174,0391_TRANSMORALES_TRANSPORTES_RODOVIARIOS_LTDA,NAO,0,0,0,0,0,0
